diseases,sintomas,texto
injury to the shoulder,"['elbow pain', 'bones are painful', 'neck pain', 'shoulder stiffness or tightness', 'muscle cramps, contractures, or spasms', 'arm pain', 'arm stiffness or tightness', 'back pain', 'shoulder pain']","
    Injury to the shoulder is a condition that may present symptoms such as elbow pain, bones are painful, neck pain, shoulder stiffness or tightness, muscle cramps, contractures, or spasms, arm pain, arm stiffness or tightness, back pain, shoulder pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
injury to the spinal cord,"['neck pain', 'back pain', 'headache', 'retention of urine']","
    Injury to the spinal cord is a condition that may present symptoms such as neck pain, back pain, headache, retention of urine.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
injury to the trunk,"['bones are painful', 'symptoms of the scrotum and testes', 'low back pain', 'neck pain', 'sharp chest pain', 'rib pain', 'wrist pain', 'headache', 'lower body pain', 'back pain', 'shoulder pain']","
    Injury to the trunk is a condition that may present symptoms such as bones are painful, symptoms of the scrotum and testes, low back pain, neck pain, sharp chest pain, rib pain, wrist pain, headache, lower body pain, back pain, shoulder pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
insect bite,"['hand or finger swelling', 'leg swelling', 'skin rash', 'itching of skin', 'abnormal appearing skin', 'skin lesion', 'peripheral edema', 'fluid retention', 'skin swelling', 'lip swelling']","
    Insect bite is a condition that may present symptoms such as hand or finger swelling, leg swelling, skin rash, itching of skin, abnormal appearing skin, skin lesion, peripheral edema, fluid retention, skin swelling, lip swelling.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
insulin overdose,"['depressive or psychotic symptoms', 'emotional symptoms']","
    Insulin overdose is a condition that may present symptoms such as depressive or psychotic symptoms, emotional symptoms.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
interstitial lung disease,"['nasal congestion', 'wheezing', 'cough', 'shortness of breath', 'abnormal breathing sounds', 'sore throat', 'headache', 'sleepiness', 'fever']","
    Interstitial lung disease is a condition that may present symptoms such as nasal congestion, wheezing, cough, shortness of breath, abnormal breathing sounds, sore throat, headache, sleepiness, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
intertrigo (skin condition),"['acne or pimples', 'abnormal appearing skin', 'skin lesion', 'skin dryness, peeling, scaliness, or roughness', 'skin swelling', 'skin rash']","
    Intertrigo (skin condition) is a condition that may present symptoms such as acne or pimples, abnormal appearing skin, skin lesion, skin dryness, peeling, scaliness, or roughness, skin swelling, skin rash.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
intestinal cancer,"['neck mass', 'sharp abdominal pain', 'throat feels tight', 'foot or toe swelling', 'diarrhea']","
    Intestinal cancer is a condition that may present symptoms such as neck mass, sharp abdominal pain, throat feels tight, foot or toe swelling, diarrhea.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
intestinal disease,"['regurgitation', 'sharp abdominal pain', 'sharp chest pain', 'nausea', 'fainting', 'regurgitation.1', 'burning abdominal pain', 'diarrhea', 'vomiting']","
    Intestinal disease is a condition that may present symptoms such as regurgitation, sharp abdominal pain, sharp chest pain, nausea, fainting, regurgitation.1, burning abdominal pain, diarrhea, vomiting.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
intestinal malabsorption,"['nasal congestion', 'sharp abdominal pain', 'cough', 'flatulence', 'diarrhea', 'vomiting', 'allergic reaction']","
    Intestinal malabsorption is a condition that may present symptoms such as nasal congestion, sharp abdominal pain, cough, flatulence, diarrhea, vomiting, allergic reaction.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
intestinal obstruction,"['sharp abdominal pain', 'vaginal itching', 'stomach bloating', 'constipation', 'nausea', 'pain of the anus', 'burning abdominal pain', 'vomiting', 'retention of urine']","
    Intestinal obstruction is a condition that may present symptoms such as sharp abdominal pain, vaginal itching, stomach bloating, constipation, nausea, pain of the anus, burning abdominal pain, vomiting, retention of urine.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
intracerebral hemorrhage,"['seizures', 'diminished vision', 'focal weakness', 'nausea', 'depressive or psychotic symptoms', 'headache', 'weakness', 'blindness', 'vomiting', 'dizziness']","
    Intracerebral hemorrhage is a condition that may present symptoms such as seizures, diminished vision, focal weakness, nausea, depressive or psychotic symptoms, headache, weakness, blindness, vomiting, dizziness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
intracranial abscess,"['depressive or psychotic symptoms', 'seizures', 'headache']","
    Intracranial abscess is a condition that may present symptoms such as depressive or psychotic symptoms, seizures, headache.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
intracranial hemorrhage,"['seizures', 'difficulty speaking', 'diminished vision', 'abnormal involuntary movements', 'depressive or psychotic symptoms', 'headache', 'vomiting', 'dizziness']","
    Intracranial hemorrhage is a condition that may present symptoms such as seizures, difficulty speaking, diminished vision, abnormal involuntary movements, depressive or psychotic symptoms, headache, vomiting, dizziness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
intussusception,"['emotional symptoms', 'sharp abdominal pain', 'blood in stool']","
    Intussusception is a condition that may present symptoms such as emotional symptoms, sharp abdominal pain, blood in stool.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
iridocyclitis,"['eye redness', 'eye burns or stings', 'diminished vision', 'lacrimation', 'cloudy eye', 'foreign body sensation in eye', 'pain in eye', 'headache', 'symptoms of eye']","
    Iridocyclitis is a condition that may present symptoms such as eye redness, eye burns or stings, diminished vision, lacrimation, cloudy eye, foreign body sensation in eye, pain in eye, headache, symptoms of eye.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
iron deficiency anemia,"['regurgitation', 'heartburn', 'fatigue', 'heavy menstrual flow', 'intermenstrual bleeding', 'blood in stool', 'regurgitation.1', 'weight gain', 'weakness', 'rectal bleeding', 'dizziness']","
    Iron deficiency anemia is a condition that may present symptoms such as regurgitation, heartburn, fatigue, heavy menstrual flow, intermenstrual bleeding, blood in stool, regurgitation.1, weight gain, weakness, rectal bleeding, dizziness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
irritable bowel syndrome,"['sharp abdominal pain', 'insomnia', 'flatulence', 'anxiety and nervousness', 'upper abdominal pain', 'nausea', 'burning abdominal pain', 'diarrhea', 'lower abdominal pain']","
    Irritable bowel syndrome is a condition that may present symptoms such as sharp abdominal pain, insomnia, flatulence, anxiety and nervousness, upper abdominal pain, nausea, burning abdominal pain, diarrhea, lower abdominal pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
ischemia of the bowel,"['sharp abdominal pain', 'constipation', 'nausea', 'blood in stool', 'burning abdominal pain', 'vomiting', 'retention of urine']","
    Ischemia of the bowel is a condition that may present symptoms such as sharp abdominal pain, constipation, nausea, blood in stool, burning abdominal pain, vomiting, retention of urine.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
ischemic heart disease,"['fatigue', 'sharp chest pain', 'shortness of breath', 'throat feels tight', 'muscle pain', 'dizziness', 'peripheral edema', 'lymphedema', 'difficulty breathing', 'chest tightness', 'palpitations']","
    Ischemic heart disease is a condition that may present symptoms such as fatigue, sharp chest pain, shortness of breath, throat feels tight, muscle pain, dizziness, peripheral edema, lymphedema, difficulty breathing, chest tightness, palpitations.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
itching of unknown cause,"['itching of skin', 'itchy scalp', 'vaginal itching', 'abnormal appearing skin', 'problems during pregnancy', 'skin dryness, peeling, scaliness, or roughness', 'fluid retention', 'skin rash', 'allergic reaction']","
    Itching of unknown cause is a condition that may present symptoms such as itching of skin, itchy scalp, vaginal itching, abnormal appearing skin, problems during pregnancy, skin dryness, peeling, scaliness, or roughness, fluid retention, skin rash, allergic reaction.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
jaw disorder,"['neck mass', 'toothache', 'facial pain', 'peripheral edema', 'mouth pain', 'headache', 'jaw swelling', 'difficulty in swallowing']","
    Jaw disorder is a condition that may present symptoms such as neck mass, toothache, facial pain, peripheral edema, mouth pain, headache, jaw swelling, difficulty in swallowing.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
joint effusion,"['elbow pain', 'knee swelling', 'knee pain', 'problems with movement', 'ankle pain', 'wrist pain', 'ankle swelling', 'knee stiffness or tightness', 'wrist swelling']","
    Joint effusion is a condition that may present symptoms such as elbow pain, knee swelling, knee pain, problems with movement, ankle pain, wrist pain, ankle swelling, knee stiffness or tightness, wrist swelling.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
juvenile rheumatoid arthritis,"['hand or finger pain', 'knee pain', 'joint pain', 'wrist swelling', 'back pain']","
    Juvenile rheumatoid arthritis is a condition that may present symptoms such as hand or finger pain, knee pain, joint pain, wrist swelling, back pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
kaposi sarcoma,"['depression', 'elbow weakness']","
    Kaposi sarcoma is a condition that may present symptoms such as depression, elbow weakness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
kidney cancer,"['involuntary urination', 'groin mass', 'blood in urine', 'kidney mass', 'retention of urine']","
    Kidney cancer is a condition that may present symptoms such as involuntary urination, groin mass, blood in urine, kidney mass, retention of urine.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
kidney disease due to longstanding hypertension,"['feeling cold', 'shortness of breath', 'difficulty speaking', 'symptoms of the kidneys']","
    Kidney disease due to longstanding hypertension is a condition that may present symptoms such as feeling cold, shortness of breath, difficulty speaking, symptoms of the kidneys.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
kidney failure,"['leg swelling', 'sharp chest pain', 'shortness of breath', 'symptoms of the kidneys', 'nausea', 'arm swelling', 'swollen abdomen', 'vomiting']","
    Kidney failure is a condition that may present symptoms such as leg swelling, sharp chest pain, shortness of breath, symptoms of the kidneys, nausea, arm swelling, swollen abdomen, vomiting.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
kidney stone,"['sharp abdominal pain', 'low back pain', 'vomiting', 'painful urination', 'side pain', 'suprapubic pain', 'blood in urine', 'frequent urination', 'back pain', 'lower abdominal pain', 'retention of urine']","
    Kidney stone is a condition that may present symptoms such as sharp abdominal pain, low back pain, vomiting, painful urination, side pain, suprapubic pain, blood in urine, frequent urination, back pain, lower abdominal pain, retention of urine.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
knee ligament or meniscus tear,"['knee swelling', 'knee pain', 'knee lump or mass', 'knee weakness', 'leg weakness', 'knee stiffness or tightness', 'leg stiffness or tightness']","
    Knee ligament or meniscus tear is a condition that may present symptoms such as knee swelling, knee pain, knee lump or mass, knee weakness, leg weakness, knee stiffness or tightness, leg stiffness or tightness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
labyrinthitis,"['ear pain', 'sweating', 'loss of sensation', 'spots or clouds in vision', 'nausea', 'diminished hearing', 'headache', 'vomiting', 'dizziness', 'plugged feeling in ear']","
    Labyrinthitis is a condition that may present symptoms such as ear pain, sweating, loss of sensation, spots or clouds in vision, nausea, diminished hearing, headache, vomiting, dizziness, plugged feeling in ear.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
lactose intolerance,"['nasal congestion', 'shortness of breath', 'flatulence', 'impotence', 'burning abdominal pain', 'diarrhea']","
    Lactose intolerance is a condition that may present symptoms such as nasal congestion, shortness of breath, flatulence, impotence, burning abdominal pain, diarrhea.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
laryngitis,"['nasal congestion', 'difficulty speaking', 'cough', 'throat feels tight', 'ear pain', 'sore throat', 'coryza', 'hoarse voice', 'difficulty in swallowing', 'fever']","
    Laryngitis is a condition that may present symptoms such as nasal congestion, difficulty speaking, cough, throat feels tight, ear pain, sore throat, coryza, hoarse voice, difficulty in swallowing, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
lateral epicondylitis (tennis elbow),"['hand or finger pain', 'elbow pain', 'arm pain', 'joint pain', 'loss of sensation', 'wrist pain', 'hand or finger stiffness or tightness', 'shoulder pain']","
    Lateral epicondylitis (tennis elbow) is a condition that may present symptoms such as hand or finger pain, elbow pain, arm pain, joint pain, loss of sensation, wrist pain, hand or finger stiffness or tightness, shoulder pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
leukemia,"['muscle stiffness or tightness', 'mouth pain', 'fatigue', 'fever']","
    Leukemia is a condition that may present symptoms such as muscle stiffness or tightness, mouth pain, fatigue, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
lewy body dementia,"['abnormal involuntary movements', 'depressive or psychotic symptoms', 'hostile behavior', 'disturbance of memory', 'delusions or hallucinations']","
    Lewy body dementia is a condition that may present symptoms such as abnormal involuntary movements, depressive or psychotic symptoms, hostile behavior, disturbance of memory, delusions or hallucinations.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
lice,"['nasal congestion', 'itching of skin', 'cough', 'itchy scalp', 'leg lump or mass']","
    Lice is a condition that may present symptoms such as nasal congestion, itching of skin, cough, itchy scalp, leg lump or mass.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
lichen planus,"['skin growth', 'difficulty speaking', 'abnormal appearing skin']","
    Lichen planus is a condition that may present symptoms such as skin growth, difficulty speaking, abnormal appearing skin.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
lichen simplex,"['difficulty speaking', 'itching of skin', 'vaginal itching', 'skin lesion', 'skin rash']","
    Lichen simplex is a condition that may present symptoms such as difficulty speaking, itching of skin, vaginal itching, skin lesion, skin rash.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
lipoma,"['bones are painful', 'back mass or lump', 'neck mass', 'shoulder lump or mass', 'groin mass', 'abnormal appearing skin', 'skin growth', 'skin lesion', 'arm lump or mass', 'skin swelling']","
    Lipoma is a condition that may present symptoms such as bones are painful, back mass or lump, neck mass, shoulder lump or mass, groin mass, abnormal appearing skin, skin growth, skin lesion, arm lump or mass, skin swelling.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
liver cancer,"['sharp abdominal pain', 'decreased appetite', 'stomach bloating', 'groin mass', 'upper abdominal pain']","
    Liver cancer is a condition that may present symptoms such as sharp abdominal pain, decreased appetite, stomach bloating, groin mass, upper abdominal pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
liver disease,"['heartburn', 'sharp abdominal pain', 'unusual color or odor to urine', 'shortness of breath', 'upper abdominal pain', 'nausea', 'peripheral edema', 'blood in stool', 'jaundice', 'weakness', 'diarrhea', 'side pain']","
    Liver disease is a condition that may present symptoms such as heartburn, sharp abdominal pain, unusual color or odor to urine, shortness of breath, upper abdominal pain, nausea, peripheral edema, blood in stool, jaundice, weakness, diarrhea, side pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
lumbago,"['low back pain', 'muscle pain', 'low back cramps or spasms', 'leg pain', 'hip pain', 'back pain', 'side pain']","
    Lumbago is a condition that may present symptoms such as low back pain, muscle pain, low back cramps or spasms, leg pain, hip pain, back pain, side pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
lung cancer,"['fatigue', 'decreased appetite', 'cough', 'hemoptysis', 'shortness of breath', 'leg weakness', 'smoking problems']","
    Lung cancer is a condition that may present symptoms such as fatigue, decreased appetite, cough, hemoptysis, shortness of breath, leg weakness, smoking problems.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
lung contusion,"['shortness of breath', 'back pain', 'ache all over', 'sharp chest pain']","
    Lung contusion is a condition that may present symptoms such as shortness of breath, back pain, ache all over, sharp chest pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
lyme disease,"['fatigue', 'symptoms of the face', 'abnormal appearing skin', 'depressive or psychotic symptoms', 'headache', 'hip pain', 'fever']","
    Lyme disease is a condition that may present symptoms such as fatigue, symptoms of the face, abnormal appearing skin, depressive or psychotic symptoms, headache, hip pain, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
lymphadenitis,"['neck swelling', 'neck mass', 'sharp abdominal pain', 'cough', 'neck pain', 'ear pain', 'sore throat', 'skin swelling', 'fever']","
    Lymphadenitis is a condition that may present symptoms such as neck swelling, neck mass, sharp abdominal pain, cough, neck pain, ear pain, sore throat, skin swelling, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
lymphangitis,"['neck swelling', 'arm pain']","
    Lymphangitis is a condition that may present symptoms such as neck swelling, arm pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
lymphedema,"['leg swelling', 'throat swelling', 'abnormal appearing skin', 'foot or toe swelling', 'skin lesion', 'peripheral edema', 'lymphedema', 'leg pain', 'fluid retention']","
    Lymphedema is a condition that may present symptoms such as leg swelling, throat swelling, abnormal appearing skin, foot or toe swelling, skin lesion, peripheral edema, lymphedema, leg pain, fluid retention.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
lymphogranuloma venereum,"['sore throat', 'ear pain', 'knee lump or mass']","
    Lymphogranuloma venereum is a condition that may present symptoms such as sore throat, ear pain, knee lump or mass.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
lymphoma,"['neck mass', 'regurgitation', 'fatigue', 'itchy ear(s)', 'groin mass', 'hoarse voice', 'regurgitation.1']","
    Lymphoma is a condition that may present symptoms such as neck mass, regurgitation, fatigue, itchy ear(s), groin mass, hoarse voice, regurgitation.1.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
macular degeneration,"['double vision', 'diminished vision', 'abnormal movement of eyelid', 'lacrimation', 'itchiness of eye', 'foreign body sensation in eye', 'spots or clouds in vision', 'pain in eye', 'symptoms of eye', 'blindness', 'bleeding from eye']","
    Macular degeneration is a condition that may present symptoms such as double vision, diminished vision, abnormal movement of eyelid, lacrimation, itchiness of eye, foreign body sensation in eye, spots or clouds in vision, pain in eye, symptoms of eye, blindness, bleeding from eye.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
magnesium deficiency,"['shortness of breath', 'leg pain', 'dizziness', 'sharp chest pain']","
    Magnesium deficiency is a condition that may present symptoms such as shortness of breath, leg pain, dizziness, sharp chest pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
malaria,"['knee lump or mass', 'fainting', 'headache', 'fever']","
    Malaria is a condition that may present symptoms such as knee lump or mass, fainting, headache, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
male genitalia infection,"['bumps on penis', 'abnormal appearing skin', 'pain in testicles', 'swelling of scrotum', 'irritable infant', 'mass in scrotum']","
    Male genitalia infection is a condition that may present symptoms such as bumps on penis, abnormal appearing skin, pain in testicles, swelling of scrotum, irritable infant, mass in scrotum.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
malignant hypertension,"['sharp chest pain', 'insomnia', 'shortness of breath', 'depressive or psychotic symptoms', 'headache', 'lower body pain', 'vomiting']","
    Malignant hypertension is a condition that may present symptoms such as sharp chest pain, insomnia, shortness of breath, depressive or psychotic symptoms, headache, lower body pain, vomiting.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
marijuana abuse,"['depression', 'difficulty speaking', 'fears and phobias', 'anxiety and nervousness', 'excessive anger', 'depressive or psychotic symptoms', 'temper problems', 'hostile behavior', 'drug abuse', 'low self-esteem', 'delusions or hallucinations', 'abusing alcohol']","
    Marijuana abuse is a condition that may present symptoms such as depression, difficulty speaking, fears and phobias, anxiety and nervousness, excessive anger, depressive or psychotic symptoms, temper problems, hostile behavior, drug abuse, low self-esteem, delusions or hallucinations, abusing alcohol.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
mastectomy,"['pain or soreness of breast', 'skin swelling', 'arm stiffness or tightness']","
    Mastectomy is a condition that may present symptoms such as pain or soreness of breast, skin swelling, arm stiffness or tightness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
mastoiditis,"['nasal congestion', 'cough', 'ear pain', 'facial pain', 'diminished hearing', 'dizziness']","
    Mastoiditis is a condition that may present symptoms such as nasal congestion, cough, ear pain, facial pain, diminished hearing, dizziness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
meckel diverticulum,"['knee lump or mass', 'lower abdominal pain']","
    Meckel diverticulum is a condition that may present symptoms such as knee lump or mass, lower abdominal pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
melanoma,"['skin moles', 'skin growth', 'abnormal appearing skin', 'skin lesion', 'itchy eyelid', 'swollen lymph nodes', 'irregular appearing scalp', 'skin swelling']","
    Melanoma is a condition that may present symptoms such as skin moles, skin growth, abnormal appearing skin, skin lesion, itchy eyelid, swollen lymph nodes, irregular appearing scalp, skin swelling.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
meniere disease,"['ear pain', 'facial pain', 'nausea', 'diminished hearing', 'headache', 'ringing in ear', 'dizziness', 'allergic reaction']","
    Meniere disease is a condition that may present symptoms such as ear pain, facial pain, nausea, diminished hearing, headache, ringing in ear, dizziness, allergic reaction.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
meningioma,"['depressive or psychotic symptoms', 'headache', 'disturbance of memory', 'weakness', 'dizziness']","
    Meningioma is a condition that may present symptoms such as depressive or psychotic symptoms, headache, disturbance of memory, weakness, dizziness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
meningitis,"['cough', 'neck pain', 'ache all over', 'nausea', 'headache', 'vomiting', 'neck stiffness or tightness', 'fever']","
    Meningitis is a condition that may present symptoms such as cough, neck pain, ache all over, nausea, headache, vomiting, neck stiffness or tightness, fever.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
menopause,"['involuntary urination', 'vaginal itching', 'absence of menstruation', 'sweating', 'unpredictable menstruation', 'hot flashes']","
    Menopause is a condition that may present symptoms such as involuntary urination, vaginal itching, absence of menstruation, sweating, unpredictable menstruation, hot flashes.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
metabolic disorder,"['smoking problems', 'jaundice', 'weight gain', 'arm stiffness or tightness']","
    Metabolic disorder is a condition that may present symptoms such as smoking problems, jaundice, weight gain, arm stiffness or tightness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
metastatic cancer,"['fatigue', 'neck mass', 'decreased appetite', 'vaginal dryness', 'focal weakness']","
    Metastatic cancer is a condition that may present symptoms such as fatigue, neck mass, decreased appetite, vaginal dryness, focal weakness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
migraine,"['diminished vision', 'symptoms of the face', 'spots or clouds in vision', 'nausea', 'headache', 'disturbance of memory', 'blindness', 'vomiting', 'dizziness']","
    Migraine is a condition that may present symptoms such as diminished vision, symptoms of the face, spots or clouds in vision, nausea, headache, disturbance of memory, blindness, vomiting, dizziness.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
missed abortion,"['sharp abdominal pain', 'intermenstrual bleeding', 'cramps and spasms', 'blood clots during menstrual periods', 'pain during pregnancy', 'spotting or bleeding during pregnancy', 'problems during pregnancy', 'blood in stool', 'lower abdominal pain']","
    Missed abortion is a condition that may present symptoms such as sharp abdominal pain, intermenstrual bleeding, cramps and spasms, blood clots during menstrual periods, pain during pregnancy, spotting or bleeding during pregnancy, problems during pregnancy, blood in stool, lower abdominal pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
mitral valve disease,"['fatigue', 'sharp chest pain', 'shortness of breath', 'sweating', 'irregular heartbeat', 'chest tightness', 'increased heart rate', 'dizziness', 'nightmares']","
    Mitral valve disease is a condition that may present symptoms such as fatigue, sharp chest pain, shortness of breath, sweating, irregular heartbeat, chest tightness, increased heart rate, dizziness, nightmares.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
mittelschmerz,"['sharp abdominal pain', 'pelvic pain', 'painful menstruation', 'diarrhea', 'vomiting', 'lower abdominal pain']","
    Mittelschmerz is a condition that may present symptoms such as sharp abdominal pain, pelvic pain, painful menstruation, diarrhea, vomiting, lower abdominal pain.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
molluscum contagiosum,"['acne or pimples', 'itching of skin', 'knee lump or mass', 'abnormal appearing skin', 'skin lesion', 'skin dryness, peeling, scaliness, or roughness', 'warts', 'skin swelling', 'skin rash']","
    Molluscum contagiosum is a condition that may present symptoms such as acne or pimples, itching of skin, knee lump or mass, abnormal appearing skin, skin lesion, skin dryness, peeling, scaliness, or roughness, warts, skin swelling, skin rash.
    Individuals experiencing these symptoms may be associated with this condition.
    This information is for educational purposes only and does not replace professional medical diagnosis.
    "
